Event,Perf,Indoor,Venue,Meeting,Date
800,01:54.6,,Olympic Park,Wanda Diamond League - London Athletics Meet,20-Jul-24
800,01:55.8,,"Eugene OR, USA",Prefontaine Classic,25-May-24
800,01:56.7,,"Paris, FRA",Olympic Games 2024,05-Aug-24
800,01:56.9,,"Paris, FRA",Olympic Games 2024,04-Aug-24
800,01:57.4,,"Hengelo, NED",FBK Games,07-Jul-24
800,01:58.1,,"Rome, ITA",European Athletics Championships,11-Jun-24
800,01:58.6,,"Rome, ITA",European Athletics Championships,12-Jun-24
800,01:59.3,,"Paris, FRA",Olympic Games 2024,02-Aug-24
800,02:02.5,,"Rome, ITA",European Athletics Championships,10-Jun-24
800,01:55.2,,"Eugene OR, USA",Wanda Diamond League Final,17-Sep-23
800,01:55.8,,"Paris, FRA",Diamond League Meeting de Paris,09-Jun-23
800,01:56.3,,"Budapest, HUN",World Athletics Championships,27-Aug-23
800,01:57.2,i,Birmingham,Birmingham World Indoor Tour Final 2023,25-Feb-23
800,01:57.7,i,"Lievin, FRA",World Athletics Indoor Tour Gold - Meeting Hauts-de-France Pas-de-Calais,15-Feb-23
800,01:57.9,i,"Torun, POL",World Athletics Indoor Tour Gold - ORLEN Copernicus Cup,08-Feb-23
800,01:58.3,,Sportcity,UK Athletics Championships Manchester,09-Jul-23
800,01:58.4,,"Lausanne, SUI",Athletissima,30-Jun-23
800,01:58.5,,"Budapest, HUN",World Athletics Championships,25-Aug-23
800,01:58.7,i,"Istanbul, TUR",European Athletics Indoor Championships,05-Mar-23
800,01:59.5,,"Budapest, HUN",World Athletics Championships,23-Aug-23
800,02:00.1,i,"Istanbul, TUR",European Athletics Indoor Championships,04-Mar-23
800,02:01.2,,Sportcity,UK Athletics Championships Manchester,08-Jul-23
800,02:01.7,i,"Istanbul, TUR",European Athletics Indoor Championships,02-Mar-23
800,01:56.4,,"Eugene OR, USA",World Athletics Championships,24-Jul-22
800,01:57.2,i,Birmingham,Müller Indoor Grand Prix,19-Feb-22
800,01:57.4,,Birmingham,Commonwealth Games,06-Aug-22
800,01:57.7,,"Oslo, NOR",Bislett Games - Wanda Diamond League,16-Jun-22
800,01:57.7,,"Eugene OR, USA",The Prefontaine Classic - Wanda Diamond League,28-May-22
800,01:58.2,,"Stockholm, SWE",BAUHAUS-Galan Wanda Diamond League,30-Jun-22
800,01:58.5,,"Eugene OR, USA",World Athletics Championships,22-Jul-22
800,01:58.6,,Birmingham,Muller Wanda Diamond League,21-May-22
800,01:59.0,,"Munich, GER",European Championships,20-Aug-22
800,01:59.1,,"Zurich, SUI",Wanda Diamond League,08-Sep-22
800,02:00.2,,Birmingham,Commonwealth Games,02-Aug-22
800,02:00.7,,"Munich, GER",European Championships,19-Aug-22
800,02:00.9,,"Eugene OR, USA",World Athletics Championships,21-Jul-22
800,02:03.7,,"Munich, GER",European Championships,18-Aug-22
800,01:55.9,,"Tokyo, JPN",Olympic Games,03-Aug-21
800,01:57.5,,"Stockholm, SWE",Wanda Diamond League,04-Jul-21
800,01:58.0,,"Zurich, SUI",Wanda Diamond League,09-Sep-21
800,01:58.2,,"Brussels, BEL",Memorial Van Damme,03-Sep-21
800,01:58.3,,"Eugene OR, USA",Wanda Diamond League,21-Aug-21
800,01:58.9,,"Ostrava, CZE",World Athletics Continental Tour Gold Level,19-May-21
800,01:59.0,i,"Vienna, AUT",Vienna Indoor Classic,30-Jan-21
800,01:59.1,,"Tokyo, JPN",Olympic Games,31-Jul-21
800,01:59.6,,Sportcity,Müller British Championships inc. Invitation 10000m,27-Jun-21
800,02:00.6,,"Doha, QAT",Wanda Diamond League,28-May-21
800,02:01.6,,"Tokyo, JPN",Olympic Games,30-Jul-21
800,02:01.7,i,"Liévin, FRA",Meeting Hauts-de-France Pas-de-Calais,09-Feb-21
800,02:03.1,i,"Torun, POL",European Indoor Championships,06-Mar-21
800,02:03.9,i,"Torun, POL",European Indoor Championships,07-Mar-21
800,02:05.6,i,"Torun, POL",European Indoor Championships,05-Mar-21
800,02:06.0,,Sportcity,Müller British Championships inc. Invitation 10000m,26-Jun-21
